Geneid	Trspfl_RNA_1	control_RPF_1	Trspfl_RPF_2	control_RPF_2	Trspfl_RNA_2	Trspfl_RPF_1	control_RNA_1	control_RNA_2
Golga3	656	113	248	124	573	183	338	475
Wdyhv1	99	37	41	16	107	43	64	74
Traf1	11	3	2	0	11	3	3	4
Atoh1	0	0	0	0	0	0	0	0
Rxra	5431	908	846	615	5165	634	3996	4128
Dapk3	390	192	356	170	455	199	287	341
Ap3m2	24	6	6	3	24	9	19	22
Sirt2	576	194	289	121	655	188	349	459
Inhbc	515	321	152	207	377	174	666	596
Slit3	0	3	3	4	2	2	3	1
Cts3	0	0	0	0	0	0	0	0
Olfr74	0	0	0	0	0	0	0	0
Dcakd	291	128	144	106	278	115	248	269
Vps35l	624	173	308	165	636	267	411	417
Cyhr1	1169	156	143	78	1189	96	699	840
Taf10	195	9	21	14	223	9	123	171
Hagh	4890	1901	1874	1449	5270	1543	3802	4363
Ogfod3	172	121	136	54	164	78	99	107
Syn1	3	1	7	1	5	2	1	2
Glyatl3	0	0	0	0	0	0	0	0
Slx	0	0	0	0	0	0	0	0
Ccl27a	67	6	17	10	91	10	44	59
Sqor	4759	1142	2465	1107	4996	1763	2186	3271
Fundc2	165	20	68	35	119	40	62	90
Rab5if	1736	290	325	148	1620	239	1124	1363
H1f5	1	21	18	6	1	18	3	0
Ankrd2	5	0	4	1	12	4	4	2
Pop4	195	64	62	28	242	28	172	160
Carnmt1	44	4	11	3	39	4	33	46
Iqcm	0	0	0	0	0	0	0	0
Clcc1	965	343	456	246	1125	327	575	790
Magea2	0	0	0	0	0	0	0	0
Ilf3	187	69	116	64	189	86	102	128
Tpd52l2	740	160	365	203	817	245	439	608
Arhgap25	26	8	23	12	25	15	18	15
Banf1	438	146	372	140	484	247	199	307
Tbc1d23	265	23	64	30	248	56	142	148
Pard3	958	238	392	258	872	336	695	894
Rorc	587	58	90	34	579	52	303	385
Krtap4-6	0	0	0	0	0	0	0	0
Evi5l	89	7	7	8	84	11	53	69
Pex5l	1	0	0	0	0	0	0	0
Mtmr1	646	87	197	111	491	159	349	481
Mtor	770	350	750	336	702	473	437	491
Zfp758	80	7	13	5	59	15	44	80
Plekhh2	13	6	12	1	17	1	24	13
Adgrl3	7	1	2	0	5	0	0	1
Golga5	602	127	297	142	521	250	308	445
Plekhb1	245	55	61	47	245	25	174	306
Nufip1	174	54	100	43	133	58	60	114
Smap1	195	182	258	132	183	222	109	169
Tepp	0	0	0	0	1	0	0	0
Acox2	6387	1097	3281	1017	5806	2291	2406	3451
Hars2	607	129	185	97	612	123	492	495
Gpa33	0	0	0	0	0	0	0	0
Sdhb	5878	1729	3000	1694	6688	2420	3125	4126
Gmpr	12	4	4	3	12	2	7	10
Krt90	2	0	1	0	0	0	0	0
Me1	2815	336	1182	424	2274	965	1193	1568
Klk11	0	0	0	0	0	0	0	0
Magt1	1569	521	560	496	1523	570	1187	1318
Mcam	110	42	64	23	122	43	44	50
Pbld1	2809	457	966	528	3099	689	1679	2299
Tab2	918	69	93	53	659	83	550	811
Mettl27	338	53	82	33	284	46	136	180
Trmt1	644	57	126	49	649	56	380	405
Vps37c	261	71	85	45	236	54	156	210
Sec23a	2044	828	1339	776	1934	989	1281	1415
Rara	372	57	106	59	305	70	203	263
Med1	348	107	241	111	316	172	202	267
Ap5b1	36	17	30	12	40	17	18	18
Bag5	414	85	184	84	452	124	241	270
Pdcd2l	173	58	83	43	141	40	125	122
Ctcf	493	52	158	86	414	124	278	376
Mnd1	33	4	16	9	31	9	13	32
Tktl1	0	0	0	0	0	0	0	0
Lix1	2	0	0	0	2	0	1	2
Ctnnbl1	249	104	170	83	292	108	178	230
Snph	0	0	0	0	1	0	0	0
Raet1e	12	0	0	0	2	0	6	5
Ppm1m	228	24	21	11	179	14	174	221
Prkar1a	2511	773	1294	644	2386	720	1894	2139
Slc27a3	15	3	2	0	9	1	11	10
Impdh2	24	6	8	9	28	9	15	26
Tiprl	393	82	103	90	421	94	300	325
Uaca	147	18	69	23	141	44	52	64
Smim31	1	0	0	0	0	0	0	0
Calca	1	0	0	0	0	0	0	0
Phf3	713	181	354	249	678	307	460	628
Ube2q2	222	19	30	13	200	25	164	161
Rfx3	40	8	15	11	28	15	22	29
Bri3	335	54	93	38	293	38	134	261
Fbxo27	0	0	0	0	2	0	1	0
Eps15l1	195	52	110	49	178	76	108	122
Tmprss15	0	0	0	0	0	0	0	0
Max	245	17	34	25	262	31	137	214
Ttc8	100	17	51	9	106	28	33	56
Vti1b	1460	57	102	69	1495	111	791	1186
Cpsf3	605	374	656	304	637	376	361	472
Nlgn1	0	0	0	0	0	0	0	1
Casq2	3	0	1	0	1	2	2	1
Pidd1	60	6	3	2	44	8	23	28
Asb4	4	1	4	0	7	2	2	1
Orc4	422	74	178	82	396	145	241	286
Mapkbp1	59	10	12	6	73	10	26	46
Mospd1	160	9	19	13	150	23	108	121
Banf2	0	0	0	0	0	0	0	0
Dclk1	2	1	2	0	2	1	0	2
Gpcpd1	2356	394	1117	383	1962	931	919	1177
Sinhcaf	1	0	0	0	0	1	0	0
Acbd5	4291	898	1439	1000	3970	1278	2778	3814
Myo7a	207	83	145	64	235	102	135	164
Luc7l2	962	90	114	101	845	108	613	874
Dnah8	15	5	6	1	5	6	3	12
Evc	12	4	6	3	14	1	18	7
Shroom2	248	106	138	83	211	135	191	260
Kmt2e	359	48	90	47	322	54	192	231
Setd5	510	53	81	36	438	63	312	385
Pcyox1	1982	673	962	714	1781	774	1373	1600
Arpp21	1	0	0	0	0	0	0	0
Iyd	1396	368	695	427	1459	561	909	955
Smim4	97	33	51	97	82	75	65	111
Smc6	351	52	130	80	331	107	219	350
Nsmf	1440	106	84	64	1381	62	1296	1251
Hmbs	730	263	208	85	721	134	448	490
Slc35b1	1248	377	361	224	1230	253	807	893
Synj2	169	14	83	22	142	55	46	60
Suds3	2456	177	292	148	2377	205	1504	1949
Ptk2b	353	108	248	111	313	169	154	227
Gfm2	1223	399	581	273	1137	459	714	847
Rlim	738	217	377	213	715	323	375	547
Ddt	4944	5436	4530	2347	5539	2423	3675	4782
Epha3	15	7	10	4	19	9	10	6
Gatad2a	600	110	198	93	504	106	353	413
Shc1	368	146	219	142	376	129	270	280
Anks1b	0	0	0	0	0	0	0	0
Cdk6	268	80	189	65	235	100	136	187
Cdk5r2	1	0	0	0	0	0	0	0
Cdk5r1	9	0	4	0	7	2	6	8
Kdm1a	197	81	129	69	189	127	98	203
Olfr192	0	0	0	0	0	0	0	0
Scaf4	232	59	118	58	241	85	111	190
Plcxd2	1712	130	105	72	1253	74	1125	1385
Morc2a	304	49	140	37	290	89	160	219
Atp6v1c2	0	0	0	0	2	0	0	2
C5ar1	14	23	13	4	14	16	13	7
Map1a	8	2	1	1	6	4	7	4
Gja5	15	1	8	2	24	6	7	11
Runx2	6	0	1	1	6	0	3	2
Gja3	0	0	0	0	0	0	0	0
Ackr3	20	1	14	6	13	9	10	10
Socs1	9	0	1	1	8	0	3	3
Sort1	767	146	311	118	761	222	316	285
Rangrf	0	0	0	0	2	0	0	2
Phyhd1	1880	401	848	281	2059	485	812	940
Slc4a9	1	0	0	0	3	0	1	2
Specc1	35	2	27	6	42	10	19	14
Gtf2a2	251	39	86	69	215	91	118	201
Deaf1	220	31	24	11	182	20	133	180
Mtarc1	7833	2141	2260	1769	7677	1734	6601	6771
Set	245	35	43	26	260	46	157	245
Glra3	0	0	0	0	0	0	0	2
Dnhd1	63	27	28	10	54	12	52	48
Tmem247	0	0	0	0	0	0	0	0
Pgpep1l	3	0	0	0	3	0	3	1
Notch3	23	10	6	8	19	9	15	16
Gtsf1l	0	0	0	0	0	0	0	0
Chml	22	5	2	3	14	2	24	22
Rnf212	0	0	0	0	0	0	0	0
Tceal8	1482	48	653	85	1530	497	199	327
Olfr935	0	0	0	0	0	0	0	0
Ranbp3	413	109	152	103	392	87	279	336
Parp6	181	1	2	5	185	2	107	143
Gng10	122	5	12	6	131	11	65	77
Mrps18b	199	85	125	54	163	83	121	146
D16Ertd472e	99	43	49	27	99	29	108	116
2310039H08Rik	569	65	72	61	589	46	483	625
Rps10	279	22	13	13	335	8	172	221
Arih1	904	193	292	170	787	251	554	758
Itgal	222	124	112	89	280	114	158	173
Sirt6	33	7	13	5	39	7	22	19
Rgs12	42	10	16	4	68	9	29	36
Gm10681	0	0	0	0	0	0	0	0
Hfe	1398	265	206	122	1458	158	710	867
Tdrd7	775	208	358	188	766	264	416	478
Ak2	2232	813	960	650	2109	730	1795	2110
Znhit1	556	142	241	127	664	126	371	421
Prx	1	0	0	0	2	0	4	1
Zxdb	28	0	2	0	19	0	22	10
Alas2	1676	891	406	953	1477	409	2195	3114
Fiz1	219	26	35	12	188	38	138	168
Doxl1	0	0	0	0	0	0	0	0
Serpinh1	249	91	117	66	256	99	173	163
Vmn2r65	0	0	0	0	0	0	0	0
Myh3	0	1	0	0	0	0	0	0
Grm5	0	2	1	0	0	0	0	0
Apol7e	3	0	0	1	3	0	2	0
Vill	12	2	4	0	11	1	9	13
Ins2	2	0	0	0	0	0	0	0
Wnk1	867	236	358	198	709	286	581	718
Tex14	3	0	1	0	7	1	1	3
Zbtb37	49	3	7	2	53	6	25	29
Egfem1	10	10	6	3	10	8	16	11
Eya1	0	0	0	0	0	0	0	0
Adgrg2	28	6	16	11	31	17	18	21
Nkain3	0	0	0	0	0	1	0	0
Cd2bp2	395	73	114	44	372	65	257	260
Sapcd2	4	0	1	0	1	0	2	1
Kcng2	6	3	0	1	3	0	4	6
Tecr	1018	627	811	451	1057	595	647	864
Asmt	0	0	0	1	0	0	1	0
Tfg	933	798	766	491	836	515	831	849
Trpm3	8	0	0	0	3	1	2	1
Trpc4	0	0	1	0	0	0	0	0
Gm14296	0	0	0	0	0	0	0	0
Mtarc2	8959	2103	3754	2156	9876	2465	5701	7490
Itih5	180	185	97	104	199	87	241	195
Adcy4	76	49	68	24	100	44	73	84
Mical1	24	4	8	4	17	2	12	14
Zc3hav1l	13	0	1	0	16	2	6	3
Lrch4	0	26	51	30	0	35	0	0
Gbp5	31	23	26	24	48	28	22	34
Wnk2	4	130	726	364	3	418	1	3
Sec22a	324	48	72	37	305	48	196	266
Ahsa2	632	284	407	281	654	314	323	492
Tfeb	99	35	56	24	104	19	57	78
Tgm1	72	36	81	31	115	35	56	55
Dynlt1f	0	0	0	0	0	0	0	0
D7Ertd443e	0	0	0	0	0	0	0	0
Tlcd2	2708	623	673	365	2441	429	1787	2092
Bend5	1	0	0	0	5	0	1	3
Cbwd1	199	23	75	33	168	51	88	140
Lrch2	5	1	1	0	2	1	1	1
Zdhhc6	847	47	94	66	985	62	534	711
Cbx3	70	3	1	1	71	1	42	40
Fndc4	317	7	19	14	420	9	236	365
Slc25a28	227	20	47	21	263	35	131	185
Gbp4	99	3	6	7	63	7	38	47
Cdkl3	12	0	1	0	9	2	1	5
Etfrf1	1237	107	297	235	1354	271	760	977
Atn1	158	28	48	25	153	34	66	159
Zfp111	55	10	14	6	40	18	25	30
Sema3b	22	0	5	0	21	3	6	6
Rbm43	70	14	29	17	87	12	37	54
S100a3	0	0	0	0	0	0	0	0
Kif18b	6	5	4	0	7	1	5	2
Hsh2d	2	0	1	0	2	0	1	1
Sgsm2	114	16	21	12	116	15	65	78
Sem1	1501	146	347	277	1612	256	904	1406
Shd	0	0	1	0	1	1	3	1
Lcp1	2162	583	1146	478	2190	849	1041	1153
H2-Q7	0	0	0	0	0	0	0	0
Gjb5	0	0	0	0	1	0	0	0
Rnps1	57	5	10	2	49	6	22	19
Gpr83	0	0	0	0	0	0	0	0
Cyp2d9	18284	5683	6588	5125	18264	4827	13689	18762
Rab23	194	12	33	22	225	23	109	143
Ext2	501	118	165	121	492	120	312	369
Scin	0	0	0	0	0	0	0	0
Clec11a	21	12	6	5	26	7	14	20
Scg2	0	0	0	0	0	0	0	0
Map7d2	1	0	0	0	1	0	2	0
Tectb	0	0	0	0	1	0	0	1
Spata3	0	0	0	0	0	0	0	0
Ola1	923	245	459	224	801	421	483	672
Lrrc46	10	3	8	3	11	10	8	15
Tmigd3	1	0	0	0	0	0	0	1
Dpep2	0	1	0	0	3	0	1	0
Slc25a51	598	38	50	37	609	28	378	495
Ubald2	3	0	0	0	4	0	1	2
6720489N17Rik	3	0	0	0	5	0	1	1
Zfp703	88	27	40	15	76	22	50	79
Slc35g2	10	0	1	0	6	0	7	5
Clasp2	119	71	149	62	100	103	77	88
Pak6	5	0	0	0	9	0	3	1
Smim19	145	15	35	28	157	35	80	104
Heph	37	17	21	9	39	20	18	18
Rhox2a	0	0	0	0	0	0	0	0
Cd209b	7	6	5	2	13	4	9	7
Prame	0	0	0	0	0	0	0	0
Mgam	1479	597	826	485	1421	644	1067	1162
Sh3d19	1349	180	337	212	1099	291	719	1091
Dab2	196	69	157	89	195	99	145	161
Arhgap44	27	3	6	0	27	4	6	8
Ppp1r32	0	0	0	0	1	0	1	1
Tead3	107	25	45	15	102	24	42	67
Ctps2	282	60	131	44	299	112	135	144
Gps1	237	72	63	28	206	51	158	199
Cdh16	0	0	0	1	0	0	1	0
Shmt2	2525	1724	2424	1055	2570	1479	1619	1837
Ncor1	1146	207	331	215	997	295	686	825
Dhrs3	2090	969	1115	556	2052	634	1625	1666
Rs1	1	0	0	0	0	0	0	0
Rps7	504	19	34	19	665	20	318	373
Klk5	0	0	0	0	0	0	0	0
Gm21828	0	0	0	0	0	0	0	0
Mpig6b	0	0	0	1	0	1	1	0
Lgi1	0	0	0	0	0	0	0	0
Cep131	47	12	29	9	52	20	27	28
Masp1	1200	874	1393	817	1161	976	813	929
Ascl1	0	0	0	0	0	0	0	0
Mas1	4	0	0	0	10	2	0	4
Mapkapk2	1128	175	264	128	951	219	719	813
Ppp2r5c	664	49	92	63	619	73	464	585
Gm3448	0	0	0	0	0	0	0	0
Tbc1d21	0	0	0	0	0	0	0	0
Olfr125	0	0	0	0	0	0	0	0
Olfr113	0	0	0	0	0	0	0	0
Olfr122	0	0	0	0	0	0	0	0
Commd4	403	150	190	95	416	125	251	252
Them5	2	2	0	2	2	0	2	2
Utp23	76	12	25	14	62	20	48	51
Ppcs	343	113	111	50	378	91	230	252
Mrpl19	253	49	100	52	276	80	159	173
Hormad1	0	0	0	0	0	0	0	0
Tctn2	38	3	8	4	45	7	11	23
Tppp3	6	3	2	1	4	2	1	1
Ooep	0	0	0	0	0	0	0	0
U2surp	517	130	315	146	516	212	285	418
Foxi1	0	0	0	0	0	0	0	0
Plekhj1	406	62	137	75	384	81	235	270
Cux1	348	93	179	107	323	137	238	283
Gm45927	0	0	0	0	0	0	0	0
Mpv17	647	163	248	103	610	151	384	413
Ankrd23	28	0	0	0	25	0	21	14
Hsf3	0	1	0	0	0	0	0	0
Radil	0	0	0	0	0	0	1	0
Nanog	0	0	0	0	0	0	0	0
Nit1	919	501	622	293	963	434	543	656
Rnf25	228	65	104	56	234	83	146	184
Tmem33	1755	510	698	362	1694	510	1242	1359
Slc6a18	0	0	0	0	0	0	0	0
Cd300lg	198	91	107	78	219	59	156	156
Osgin1	1973	1055	683	479	1594	593	1267	1253
1110017D15Rik	1	0	0	0	0	0	0	0
Krtap21-1	0	0	0	0	0	0	0	0
Olfr1215	0	0	0	0	0	0	0	0
Olfr282	0	0	0	0	0	0	0	0
Olfr92	0	0	0	0	0	0	0	0
Olfr1241	0	0	0	0	0	0	0	0
Olfr1231	0	0	0	0	0	0	0	0
Olfr693	0	0	0	0	0	0	0	0
Olfr694	0	0	1	0	0	0	0	0
Nfix	828	213	389	230	825	225	612	790
Evi2b	0	0	0	0	0	0	0	0
Stk35	246	16	49	23	181	29	122	166
Pex26	467	55	106	45	611	71	298	405
Stard7	2316	354	486	219	2125	318	1477	1717
Stat5b	572	256	220	147	562	173	522	579
Ubac1	242	46	76	29	268	42	124	171
Stat5a	153	113	130	35	153	61	146	113
Eva1c	3	1	0	0	6	0	4	2
Dab1	2	0	0	0	2	0	2	1
Gpx6	10	2	4	2	21	2	11	16
Clba1	14	3	4	0	19	1	12	6
Ifi27l2b	130	5	51	10	138	49	13	30
Mical3	198	53	75	40	182	52	137	120
Cilk1	319	33	29	24	282	32	222	233
Slc38a10	1320	180	227	128	1382	161	832	843
Zfp451	192	41	75	40	153	61	99	136
Bloc1s4	313	28	73	41	333	30	207	239
Abhd17c	655	186	142	95	527	96	644	786
Acad10	643	78	240	51	576	166	208	244
Snx10	789	54	219	82	721	168	266	329
Sh2d4a	295	16	167	28	327	86	51	95
Metrn	91	2	2	1	113	1	70	63
Rab43	2548	161	223	97	1989	129	1619	1810
Abcb8	434	76	147	51	400	85	270	342
Optn	1157	478	839	447	1147	568	696	930
Sidt2	1604	285	374	184	1487	229	1176	1259
Pum1	602	277	491	252	486	335	379	454
Oxr1	1430	275	365	260	1353	354	1110	1151
Gm11545	3	1	0	3	3	1	3	3
Cyp3a59	2037	176	614	183	1561	534	437	647
Zfat	24	4	20	11	17	10	10	25
Mecp2	199	12	26	11	233	21	136	169
Efcab12	5	2	0	0	0	0	1	2
Klrb1	0	0	0	0	0	0	0	0
Gnb1l	32	13	5	2	26	10	23	21
Ap1b1	1331	879	1474	735	1134	1003	870	923
Gm14308	0	0	0	0	0	0	0	0
Tbc1d4	36	8	34	9	48	13	28	44
B4galnt1	620	204	193	97	608	121	434	498
Nat8f7	0	0	0	0	0	0	1	1
Oxtr	0	0	0	0	0	0	0	0
Prickle2	19	8	6	3	23	4	19	23
Gpr161	3	0	0	0	0	0	2	2
Gm4297	0	0	0	0	0	0	0	0
Gm2030	0	0	0	0	0	0	0	0
Gm5934	0	0	0	0	0	0	0	0
Gm10488	0	0	0	0	0	0	0	0
Carmil1	160	60	57	30	163	35	131	236
Myo1b	3847	1063	1579	944	3827	1146	2836	3427
Rngtt	187	54	93	50	166	68	122	142
Larp4b	1562	272	535	261	1398	391	843	1098
Sh2b3	305	6	17	7	307	12	157	165
Gm7827	0	0	0	0	0	0	0	0
Ap4s1	166	35	26	31	166	22	131	140
Ntng2	9	4	4	1	13	2	2	9
Stk26	6	0	2	3	5	6	3	5
LOC666331	0	0	0	0	0	0	0	0
Ubap2l	537	230	522	240	525	371	310	412
Tsen34	159	40	75	32	167	40	94	104
Sct	0	0	0	0	3	0	0	0
Nup98	342	351	589	288	278	431	236	311
Nbr1	4927	1114	2060	1110	4466	1573	3062	3865
Fen1	79	0	1	0	66	0	42	45
Xpo6	484	64	114	62	414	84	302	356
Bak1	198	33	43	10	198	22	121	116
Mybl2	2	0	1	0	3	0	0	1
Vamp2	104	8	30	12	110	13	66	104
Vamp1	38	0	0	1	33	2	39	33
Ahi1	9	4	9	6	15	11	21	15
Arpc4	646	300	377	228	594	249	449	523
Ackr2	60	21	16	5	52	13	47	36
Agxt	3942	2368	2509	1713	4188	1631	3009	3810
Vps8	155	78	132	52	142	111	93	100
H2-Ob	17	10	8	1	28	1	5	9
Mapk10	0	0	0	0	0	0	0	0
Pccb	3475	1123	1782	984	3436	1319	2238	2552
Bpgm	283	56	55	28	288	46	265	200
2310057M21Rik	44	8	18	8	30	20	31	25
Ubr7	472	110	274	117	478	164	251	326
Grifin	0	0	0	0	0	0	0	0
Lbh	123	36	52	29	111	38	82	115
Hspa13	965	340	413	289	723	327	724	874
Tspyl4	15	0	0	0	28	0	65	36
Atp12a	0	0	0	0	0	0	0	0
Cutc	196	34	51	51	193	58	125	167
Sprtn	118	42	49	23	116	39	89	115
Prkd2	59	23	54	25	68	41	37	65
Proz	3910	864	1323	1014	4020	1056	2635	3565
Ube2d2a	224	0	0	0	169	0	177	166
Tdo2	59715	11666	30576	12376	57624	24499	24024	33701
Sult1b1	1096	148	318	135	1099	227	397	625
Polr3k	291	37	50	34	261	38	222	274
Tsc22d4	142	5	17	6	164	9	80	132
Asb3	191	58	103	56	212	80	131	145
Mmp10	0	0	0	0	0	0	0	0
Gm14819	0	0	0	0	0	0	0	0
Wdr72	1	0	0	0	2	1	1	0
Eefsec	366	140	249	129	387	203	240	291
Ccdc57	8	2	11	2	36	7	10	12
Arhgap4	83	15	27	13	109	15	55	52
Mtf2	182	23	36	22	140	33	87	136
Cxxc5	470	94	163	105	515	119	305	431
Nmnat3	72	10	31	6	81	9	18	45
St3gal6	58	9	14	7	37	15	31	29
Rock1	758	209	488	315	670	394	448	608
Atpif1	943	87	285	101	1064	233	317	461
Hyal1	424	203	156	111	392	111	335	306
Kitl	49	5	12	4	61	6	49	45
Krba1	138	23	38	18	124	26	101	92
Gm4303	0	0	0	0	0	0	0	0
Pik3cd	110	12	26	13	81	10	46	49
Gm16405	0	0	0	0	0	0	0	0
Nfe2l1	2024	289	352	239	1774	267	1347	1623
Btbd6	119	35	40	17	83	24	80	111
Gm16381	1	0	0	0	0	0	0	0
Lpp	684	236	409	199	636	303	412	630
Gucy2d	0	0	0	0	0	0	0	0
Wac	448	81	104	65	325	90	266	375
Setdb1	423	171	222	138	392	191	325	346
Chn2	378	29	59	32	398	37	208	299
Rnpep	401	150	278	129	432	169	255	314
Pcdh15	0	0	0	1	0	0	0	0
Kcnt1	0	0	0	0	0	0	0	0
2810459M11Rik	1223	130	183	98	1333	135	922	934
Yars2	351	117	140	64	366	99	229	279
Fam49b	104	18	40	28	106	36	53	92
Gm15093	0	0	0	0	0	0	0	0
Cacna1g	1	1	1	2	0	2	1	4
Bcar1	608	184	214	119	600	167	381	472
Crhr2	0	0	0	0	0	0	0	0
Iapp	0	0	0	0	0	0	0	0
Elavl4	0	0	0	0	0	0	0	0
Kdm6a	223	87	90	72	210	65	143	199
Mettl1	117	46	74	53	148	47	102	83
Aanat	1	0	0	0	1	0	0	0
Dnajc2	327	70	95	42	284	67	180	263
Mid1	9	12	15	11	9	8	8	10
Bcl11a	5	0	1	1	5	0	2	3
Tpx2	36	12	16	2	29	11	22	10
Mad2l1bp	117	48	82	48	124	53	89	110
Tars2	580	161	283	114	536	191	366	405
Mrps34	792	188	437	162	909	200	520	585
Pycard	36	14	22	5	35	20	17	29
Ints12	155	48	80	38	125	62	61	95
Mybphl	0	0	0	0	0	0	0	0
Trnau1ap	312	42	50	27	317	30	151	211
Krt20	0	0	0	0	0	0	0	0
Rreb1	563	208	374	126	602	219	496	442
Ipcef1	4	1	0	0	3	0	4	3
Gnpda1	240	28	69	26	310	39	92	144
Ksr1	26	1	5	3	28	5	16	21
Thbs3	18	2	1	1	14	4	7	6
Sart1	443	165	300	137	466	211	256	332
Cuta	618	192	275	134	702	129	400	532
Syt17	1	0	0	0	0	1	1	1
Amdhd2	281	91	183	67	345	111	167	268
Dgkk	0	0	0	0	0	1	0	0
Gprasp1	95	25	36	21	103	21	73	83
Zfp7	24	2	2	7	26	1	14	26
Fam178b	2	0	0	0	0	0	1	2
Syce2	64	2	4	3	54	6	35	50
Tekt4	0	0	0	0	0	0	0	0
Ccl21d	0	0	0	0	0	0	0	0
Vezt	532	69	112	66	521	91	285	331
Stil	11	0	3	5	8	4	6	4
Tbl2	256	64	96	58	234	80	183	193
Rrm2	132	46	92	33	112	59	61	73
St6galnac2	19	4	2	0	24	1	7	8
St3gal1	1380	368	251	171	1441	162	972	1010
Zfp317	222	24	36	18	213	37	112	160
Pdia6	7027	4025	2877	2361	6861	2285	7391	6412
Mrpl1	519	230	338	220	468	250	319	496
Dcaf7	639	129	304	133	581	193	383	430
Pdilt	261	9	23	8	236	15	148	161
Ccdc163	76	10	13	8	80	8	50	58
2410004B18Rik	171	15	25	21	171	14	101	125
Disp3	0	0	0	0	0	0	0	0
Ccdc34	46	2	11	6	40	8	20	11
Rabggtb	1097	111	249	137	1103	134	772	916
Pex11b	591	208	205	128	598	111	413	468
Dand5	51	2	2	1	48	1	28	42
Mrps12	196	47	34	44	182	33	199	218
Exoc1	198	78	147	67	183	112	122	133
Nkx6-2	0	0	0	0	1	0	0	0
Lrrc75a	7	0	1	0	6	0	0	3
Slc23a2	262	49	103	55	236	66	175	251
Atg13	1143	217	270	205	850	225	802	901
Gm13289	0	0	0	0	0	0	0	0
Setd2	650	152	284	149	552	218	336	520
Nhsl1	220	59	67	47	140	47	150	202
Ctsj	0	0	0	0	1	0	0	0
Cops7a	798	216	360	180	889	232	510	518
Cops6	1507	976	804	538	1493	630	1196	1456
Rpl21	33	0	0	1	22	0	10	35
Derl3	117	31	18	8	80	12	118	53
Kctd18	77	10	15	9	79	13	46	52
Inppl1	617	78	165	53	562	100	248	316
Trp63	0	0	0	0	0	0	0	0
Mocs2	1651	466	474	331	1542	350	904	1437
Rnf34	252	31	52	26	288	64	137	151
Ttc39a	51	0	25	0	68	10	3	5
Tmc7	144	26	23	23	92	44	83	125
Nkd2	2	2	0	0	3	0	3	2
Matn2	41	14	28	13	37	12	14	28
Tmub1	95	13	7	9	70	6	54	65
Folh1	0	0	0	0	1	0	0	0
Stk32b	0	0	0	0	0	0	0	0
Sdf2l1	396	929	271	241	290	201	624	660
Ulk2	1221	146	97	86	1063	96	1285	1123
Rhbg	483	61	172	32	468	113	111	88
Ralgps2	289	52	73	48	272	53	211	250
Vmn2r95	0	0	0	0	0	0	0	0
Tiam1	15	11	13	5	10	4	15	13
Ypel1	8	0	1	0	4	0	4	5
Klhl22	489	78	184	60	514	102	248	270
Ndrg2	22387	11404	15353	7254	24629	9908	14922	17165
Man2c1	342	104	181	62	336	89	163	233
Gm14430	0	0	0	0	0	0	0	0
Setd6	194	27	57	34	166	43	96	167
Sis	0	0	0	0	0	0	0	0
Porcn	37	12	16	6	44	7	29	46
Gm12250	96	24	66	18	87	61	25	44
Satb2	2	0	0	0	3	0	7	7
Mark3	713	98	191	121	648	175	381	533
