geneid	control_RPF_2	control_RNA_2
CG31496	0	0
nxf4	0	0
CG43290	0	0
CG17944	0	0
Mst84Dd	0	0
Mst84Dc	0	1
Mst84Db	0	0
Mst84Da	0	0
MstProx	0	0
CG42650	0	0
Ir84a	0	0
wa-cup	1	0
CG14598	0	0
CG1142	121	1536
alpha-Est10	19	322
CG42656	0	0
alpha-Est9	46	151
Mics1	0	3
alpha-Est8	11	14
Ubc84D	0	0
alpha-Est7	12	25
alpha-Est6	0	0
Rtnl2	1	6
alphaTub84D	622	5016
alpha-Est5	138	736
alpha-Est4	2	36
alpha-Est3	68	0
alpha-Est2	5	19
alpha-Est1	37	2344
CG45545	0	0
Nlg3	5	0
Nlg1	9	55
CG2616	0	0
CG43254	0	0
pyd3	14	50
CG10919	0	0
Sp7	48	576
CG11286	0	0
CG18747	0	0
CG18745	0	0
CG18748	0	0
CG18746	0	0
CG10086	0	2
CG2641	13	165
CG18744	2	12
CG3014	0	75
CG18268	16	51
CG2993	3	72
sgll	267	2080
CG31473	0	11
CG34384	0	8
CG17816	19	612
ArgRS-m	61	1402
mRpS9	320	2249
wtrw	32	329
EMC1	810	9365
Taf7	148	1705
Prat	196	5101
CG2846	36	1189
CG2678	74	1301
CG10445	42	1394
lds	693	11290
dsx	2	91
CD98hc	516	18120
Os-C	0	4
Sfp84E	0	0
Elovl7	99	175
PIG-H	23	558
Kmn2	52	70
CG2698	36	6392
CG2767	223	1360
CG11052	0	0
CG3223	172	1460
CG10435	91	3056
Pbp95	35	2325
CG2747	572	5955
ImpE3	0	37
CG10903	101	58
CG11035	43	517
unc-45	197	1945
CG43060	0	0
CG43618	0	0
CG43061	0	0
mAChR-B	1	5
CG7910	12	47
CG7900	12	265
puc	97	1726
CG7878	634	5180
CG9667	109	747
Arl8	185	2899
grn	0	1
CheA84a	0	0
CG7800	80	716
CG18249	12	36
PolI	77	3297
Ada2b	129	8398
CG9636	51	4495
CG33722	201	0
CG18749	0	0
CG15864	0	20
mtg	22	98
RpA-70	1546	19394
Mcm2	1034	10690
CG9630	138	1630
ato	0	0
Nazo	0	7
CG11672	0	0
CG31464	0	2
CG31463	0	1
CG9626	30	1175
mRpL1	154	3234
nac	42	433
Sgt1	133	4104
tex	130	776
CG11693	0	0
CG11694	0	0
CG11698	0	0
CG7483	419	3268
Coq2	26	914
Ctr1B	0	12
Poxm	1	20
Or85a	0	0
CG7443	381	194
COX7A	777	7554
Arl2	73	569
PNKP	221	2016
COX7AL	0	3
DppIII	1395	13096
CG7352	9	258
Atg13	56	5135
stck	168	3125
CG9684	247	6146
CG7963	0	0
CG45263	3	149
Obp85a	0	0
Or85b	0	0
Or85c	0	0
CG11737	44	3590
CG31454	1	5
CG31259	0	0
CG11741	0	0
Or85d	0	0
pch2	296	4754
mRpS18A	115	2468
CG31460	75	38
Cenp-C	88	8059
5-HT2B	2	0
Or85e	0	0
Cyp313b1	6	13
Mkk4	30	6823
SLIRP2	49	85
Dhod	236	2877
Sys1	19	773
CG42489	3	6
bel	1892	19251
p	52	1887
CG8032	22	2199
CG8036	2246	29392
mRpL19	162	1564
CG9773	56	1715
CG8043	70	809
CG11755	20	794
CG33325	0	0
CG44227	0	0
hb	44	3237
Cks85A	46	817
CG8112	94	0
TMEM216	76	8254
CG11760	1	11
CG8136	1	24
nom	61	544
ouib	0	0
CG8159	14	889
ranshi	32	954
M1BP	178	1570
CG8202	55	2670
CG9801	33	2330
CG8223	1419	444
CG11768	0	0
CG34135	0	0
CG8236	0	0
CG13318	0	2
CG34301	0	0
Pif1A	5	0
Pif1B	0	0
CG33191	0	0
CG33189	0	0
Ir85a	0	0
CCT7	1443	20136
CG9839	39	815
hng2	66	1050
CG9837	0	23
aqz	386	44205
CG8369	36	29
IscU	200	1795
CG8379	106	3369
pyd	311	10043
osk	256	8182
ScsbetaA	1091	10638
CG11964	132	2616
ich	0	7
CAHbeta	13	569
RagA-B	179	1169
CG11970	94	2537
E(var)3-9	80	9779
CG11975	95	1693
CG31100	1	9
CG11977	1	0
CG11980	758	5694
Prosbeta3	1001	6247
Iru	47	3179
CG11983	1	140
Kcmf1	316	12220
Sf3b5	216	1452
CG11986	106	1115
tgo	236	4519
neur	28	2417
hyx	81	3733
Nmdmc	131	691
Rel	198	2724
Mst85C	150	2252
Kdm2	133	4533
beag	156	1863
Ada	31	376
pum	434	13561
CG11997	1	0
D1	752	16267
Vps15	99	1205
CG8420	35	1981
St2	0	0
CG16734	105	779
CG16736	0	3
Ibf2	186	1511
Ibf1	92	488
ATP6AP2	713	6333
sage	1	15
TrpRS	263	3956
Vps16A	187	2518
CG8861	0	0
HP1e	1	0
CG12951	0	0
CG16749	0	10
Aduk	51	1761
pasi2	78	2393
CG45050	223	29033
CG43675	1	6
CG18473	0	5
Srr	0	5
FER	28	127
Or85f	0	11
CG34117	104	1049
RpL34b	2808	25216
CG8132	96	710
CG9356	52	2186
CG8135	67	0
BBIP1	5	0
CG44261	0	2
betaTub85D	2	3
Task7	0	1
alpha-Man-IIa	35	3742
ps	139	1025
GstZ1	172	821
GstZ2	0	0
CG16779	2	3
phu	2	1
RhoL	32	109
CG8149	423	4175
rump	1010	9272
Ras85D	108	6749
Rlb1	110	1527
mRpL47	152	1758
Kdm3	96	608
CG8176	111	7981
by	86	799
mura	55	2273
RnpS1	433	3506
CG9386	17	409
CG8199	151	1582
AP-1mu	194	4432
MBD-like	120	2282
CG9393	29	3879
Vps45	78	939
CG16789	0	26
CG16790	34	521
CG9396	0	2
CG9399	81	1968
Kap-alpha3	1599	23766
Son	43	3641
CG8301	4	2361
CG33654	0	0
P58IPK	169	4336
bocks	170	2833
CG8312	122	2149
CG9427	2	9
CG8319	42	2494
Calr	2246	25620
SpdS	463	227
Scm	110	7105
Dh44	0	1
Fst	1	1
0	2	2
Nepl12	0	1
p23	1128	24581
nmdyn-D7	41	1704
CG9444	0	9
eca	29	1637
CG18542	0	0
Unc-115b	0	0
p24-2	0	0
CG32939	0	0
Unc-115a	9	124
trbd	72	1987
dmt	64	10546
hyd	884	19887
FoxP	0	3
alphaTub85E	0	0
side-VII	0	10
Pnn	138	3129
CG34409	0	13
CG31415	0	2
CG12948	47	2169
PpD3	498	10758
Tti1	68	1648
Rpt3R	4	69
Alg12	47	1076
Mpi	110	664
Snap24	48	4004
CG8478	125	4218
MED6	143	2008
Naa80	37	1819
CG9471	112	2051
Whamy	0	13
topi	0	16
RpS29	496	54237
CG12947	2	15
MtnA	941	547
CG8500	0	9
CG12945	128	2258
CG8507	1314	12997
CG8516	16	3063
CG9467	285	4642
CG8526	10	493
FBXO11	263	10786
CG8534	0	0
eloF	5	24
CG16904	13	34
CG9459	2	6
CG9458	3	11
CG42857	2	2
CG34302	0	0
Teh1	0	1
CG46467	17	0
Glut4EF	125	333
Art4	253	10003
Gr85a	0	0
Spn85F	0	4
CG5359	23	530
Mical	192	4924
CG31407	0	0
CG3909	152	1325
CG11722	40	644
mtTFB2	136	758
CG12811	69	1411
ohgt	150	1660
Fancl	96	870
Npc2e	0	0
Npc2d	0	0
Npc2c	1	0
CG33630	0	0
CG33631	0	0
CG33783	0	0
CG33784	0	0
nerfin-2	2	0
Alp13	0	0
Fmr1	1028	15387
CAH7	67	1723
gammaSnap2	1	2
ATPsynepsilonL	0	5
knk	2	1
tws	816	21545
TAF1B	174	3105
CG42759	0	8
Invadolysin	21	2243
CG34303	0	0
CG6254	79	1792
Best1	51	1727
CG12814	18	23
Syn	0	16
Timp	123	287
CG12420	1	0
CG12817	0	0
CG34107	0	0
CG42795	2	0
CG3999	1	37
Sirt6	32	1425
pont	636	5279
Nuak	69	1837
CG6293	258	7599
Bruce	686	16630
CG12818	94	907
sle	655	24539
CG12592	8	323
CG18545	0	7
CG31406	0	0
jumu	142	9687
Rfx	15	1771
cwo	67	3171
mthl11	0	1
CG6325	7	1918
Irp-1B	395	3855
Rrp46	162	496
CG6345	61	205
CG46270	0	0
Cyp12e1	5	17
hth	0	16
CG6465	0	9
Phyhd1	428	1893
Skeletor	4	35
pug	23	680
CG14683	46	0
CG46459	15	0
CG31391	0	6
CG31467	0	71
CG14684	0	22
CG31278	29	301
CG31373	19	203
CG14689	0	0
CG4073	7	0
tomboy20	0	0
TkR86C	0	2
CG14691	0	0
CG31272	0	0
MED7	177	1544
Cap-H2	26	981
TfIIFbeta	153	2286
CG45076	15	199
fau	85	0
CG45078	9	56
Desi	0	3
CG42633	0	0
mRpL37	181	2406
Rbp1	159	3662
Art1	600	11431
Mcm5	939	16761
CG14687	21	70
CG14692	8	0
CG14693	0	0
TTLL15	7	1059
Cad86C	35	130
CG42394	29	67
CG4565	7	49
CG6567	55	1173
CG4511	393	10099
CG4570	153	8891
CG14694	0	37
CG6574	12	471
SelR	75	2722
Tsp86D	47	3103
Fdh	1120	11106
CG4596	0	22
Sodh-2	102	148
CG14695	0	1
Tpc1	8	2059
CG14696	21	68
Leash	41	1446
Ak3	170	874
CG6621	147	3326
Tengl4	0	0
side-VI	1	0
CG43449	0	0
SdhCL	0	0
Ugt35C1	0	10
mAcon2	0	0
CheA86a	0	0
Ugt302K1	2	20
Ugt302E1	6	8
Ugt302C1	150	1914
CG4757	0	1
Ugt35E1	0	0
Ugt35E2	0	0
Ugt35B1	1	1
Ugt35A1	49	656
Ugt304A1	1	0
Ugt303A1	0	1
CG18577	0	0
cu	94	1926
SdhC	232	2186
Tctp	645	71608
ZnT86D	37	3882
RpS25	1326	38066
CG4820	27	558
CG6689	60	1262
CG6693	279	3276
RpL3	8315	64612
scpr-C	15	219
CG17726	32	661
GCC88	97	2694
CG17187	40	555
Dph3	8	202
Arfip	19	1658
CG17721	12	856
CG31441	22	692
CG31388	8	548
scpr-B	0	0
scpr-A	5	42
CG17734	278	7959
CG5214	522	6792
pros	3	1
KP78a	1	0
KP78b	0	0
mRpL40	138	1063
mgr	135	5254
Irbp	99	3014
Ipo9	701	10153
CG6723	0	9
CG45676	0	0
ninaG	0	0
CG5270	51	3095
Dtd	27	142
RpL24-like	523	6386
CG5276	7	1188
Exd2	79	2203
CG5281	0	112
sals	21	47
CG17230	28	1194
PGRP-LB	29	69
dpr5	0	0
dpr4	0	0
CG14708	0	0
CG10898	8	1056
sea	91	17
fabp	1798	10230
Mrp4	51	176
CG6790	0	3
CG5342	0	8
wkd	45	2684
CG6791	16	3138
Jupiter	385	13528
CG14710	52	1430
Zaf1	5	489
CG14711	30	83
CG6813	37	236
CG18764	16	826
CG14712	337	10308
Csk	197	7493
Elp1	322	3337
CG42327	146	4115
CG14715	386	3112
CG18476	69	1063
Taf12	46	3630
Ho	269	1936
CG6830	58	26
CG6834	0	1
CG6908	38	25
CG18765	1	1
Fer3	0	1
CG14717	1	0
CG14718	0	0
I-t	0	0
CG14720	0	0
CG12594	0	0
CG14721	45	1030
Blm	202	5482
CG14722	202	3580
CG6923	44	3750
CG43062	0	18
Lk6	711	51438
l(3)neo38	21	471
prd1	71	2488
HisCl1	0	0
Sbf	148	2779
ClC-a	21	118
glo	558	8095
COX5A	856	7941
Kyat	270	3298
CG6959	26	122
sad	0	67
CG6962	78	1796
CG31368	430	3005
mthl5	25	539
Dnali1	0	0
Cad87A	234	2524
CG34307	0	0
CG14731	0	1
CG31211	49	1877
Hsp70Aa	0	2
Hsp70Ab	0	1
CG3281	56	1394
aurA	240	4202
CG12213	127	2818
GC1	62	3451
Tango9	238	2699
GC2	0	0
CG10005	1	20
CG18547	8	44
CG12224	2	3
CG3397	0	0
mfas	941	815
Tk	0	0
Ect3	253	431
KLHL18	55	693
GCC185	77	2040
DCAF12	41	1059
Spt3	39	511
CG31358	0	0
CG42505	0	0
CG42504	0	0
ssp5	0	0
CG14736	0	0
CG14739	0	0
CG14740	0	0
ATP8B	10	136
dpr17	0	12
CG4702	0	0
dpr15	0	0
Cpn	0	0
eIF3d2	1	0
CG43450	0	0
Adk1	0	0
CG4830	0	0
Cog1	163	1828
CG14742	0	0
CG4860	16	342
Rsbp15	0	0
CG17404	0	0
CG12256	0	0
CG3916	0	0
Pglym87	0	0
Cyp313a5	0	0
Cyp313a2	0	0
Cyp313a3	0	0
CG3942	1	0
svp	1	1
CG44037	0	0
CG44038	0	0
CG17738	0	0
Sfp87B	0	0
CG4066	84	196
CG10013	3	56
CG44956	0	0
CG10038	187	1796
CG10041	0	4
MBD-R2	435	7273
CG4115	0	6
Tim17a1	0	4
GstD10	0	20
GstD9	78	675
GstD1	4773	33155
GstD2	14	64
GstD3	136	1157
GstD4	1	9
GstD5	1	10
GstD6	0	4
GstD7	2	1
GstD8	0	3
CG10035	0	1
GstD11	0	1
Sol1	0	0
CG33098	0	0
CG10097	18	0
CG10096	0	0
Cyp9f3	1	51
DNAlig3	38	1087
Cyp9f2	109	389
Sccpdh2	59	646
CG5196	233	2970
Dip-C	178	1071
pps	155	11176
Scgbeta	2	3
CG17202	537	5453
Pp1-87B	607	15921
NANS	1	4
CG5641	373	3976
CG5245	19	729
Prosalpha2	652	10782
Aos1	816	6507
Srlp	550	2272
Desat2	0	2
CG46427	0	0
CG17207	0	0
Desat1	1834	20662
vrs	0	3
CG18549	69	2923
CG5509	0	1
trus	143	1880
CG5961	53	1400
Polr3C	45	825
CG5608	161	1841
Hsp70Ba	0	40
Hsp70Bbb	0	0
Hsp70Bb	0	38
Hsp70Bc	0	4
Octbeta3R	0	2
Hug	0	0
Octbeta2R	18	370
Vha55	1765	28030
Snx3	218	5160
Not10	54	1923
CG18530	0	12
CG11598	1	1
CG11600	2	0
CG11608	0	0
CG6753	0	7
Dtg	1	2
CG6225	3	11
CG14395	1	0
Gnmt	1	1
CG43630	0	2
mbo	385	3150
Cyp313a4	27	39
kar	204	1469
Su(fu)	164	3171
CG31347	0	11
Arp1	425	4000
CG14391	0	0
NijC	7	40
Past1	358	5949
CG12279	111	299
PolQ	139	997
Men	2744	9633
Ugt37A2	0	0
Ugt37A3	1	1
beat-Vc	0	7
CG31345	0	0
beat-Va	0	0
CG10126	51	77
d-cup	0	0
CG10909	0	0
beat-Vb	0	1
grsm	631	9050
Spc25	72	2332
Cyp304a1	0	5
CG14384	0	0
CG7381	1	374
CG7091	84	4104
Paip2	198	12932
CG31342	99	10589
CG14383	0	17
yellow-f	10	25
yellow-f2	3	16
CG7488	118	1076
CG44194	29	0
CG17327	28	0
CG7518	681	11323
CG8031	221	2449
CG11656	0	6
CtBP	735	23255
CG46280	189	3462
CG46281	4	14
l(3)87Df	51	687
ry	0	5
CG11668	0	1
snk	14	688
CG11670	1	37
CG45122	0	0
Hsc70-2	15	30
CG31157	0	4
CG7966	154	920
pic	661	12258
sim	190	1038
CG43063	0	0
timeout	489	2796
CG34308	0	8
2mit	1	6
CG8138	0	0
CG8508	0	0
CG14380	0	0
CG8141	0	0
CG8483	1	6
CG8476	0	0
Ace	1	4
CG11686	17	186
Ravus	29	981
Su(var)3-7	280	16046
TBC1D5	53	1075
CG8630	6	0
CG15888	0	0
apn	0	0
Osi22	0	0
wntD	0	0
CG8773	12	0
CG8774	0	0
CG32473	1096	12935
CG43208	0	0
CG44142	0	1
CG45080	0	0
PK2-R2	2	4
PK2-R1	1	10
mthl12	0	0
poly	168	2099
Dic1	22	1695
CheA87a	0	0
Lip3	0	2
CG34309	0	0
CG9813	7	14
CG8870	0	5
mRpS21	324	492
Droj2	1149	36254
CG9799	373	2090
CCHa2	1	17
CG14374	0	0
CG14377	0	0
GILT1	1489	17337
Dpm3	77	704
yellow-e3	2	0
yellow-e2	0	0
yellow-e	0	6
Ir87a	2	1
Act87E	15	51
yrt	83	7294
side-IV	1	3
CG12538	0	0
CG46457	0	0
CG31337	0	0
CG14370	0	0
CG14369	0	0
CG9759	0	0
CG9757	0	0
CG9269	0	0
CG10841	0	2
sqd	1375	40401
rin	1737	48737
Rbp4	0	5
Hrb87F	423	23801
B52	668	17811
Task6	6	7
CG9588	72	1830
Lkb1	99	4083
omd	86	4967
flfl	193	6974
CG14367	0	1
f-cup	15	1291
ninaB	0	1
Adgf-D	6	12
Adgf-C	7	6
Argp	11	9
primo-2	0	0
primo-1	331	0
kmr	58	353
Ubc87F	0	0
CG9312	0	0
Cht5	0	0
CG9297	6	22
CG42375	29	0
CG9288	19	0
CG9286	314	686
Dip-B	4697	21484
tal-AA	0	0
tal-1A	1	0
tal-3A	1	0
tal-2A	0	0
Mst87F	0	0
Nsf2	235	2121
CG31495	36	693
CG14362	0	0
E5	1	1
ems	0	0
Art9	0	0
Art6	0	0
CG31517	0	1821
CG9926	76	2782
Ipp	6	2607
CG9925	343	5719
Orc2	284	3561
rdx	992	60590
Cyp6d5	11	13
CG3061	125	3740
CG9922	421	2700
foxo	179	3704
Npc2b	13	15
CCHa1	0	0
CG9920	0	0
PK1-R	0	0
CG12402	0	0
Or88a	0	0
CG14357	0	1
Kif19A	0	0
Abi	153	4578
twf	168	2282
140up	98	969
Polr2B	644	7045
CG14356	1	5
CG14355	0	0
CG42500	0	0
CG9722	0	0
CG44215	0	0
CG31533	0	0
CG31327	0	0
CG3199	0	0
Dop1R1	0	0
CG9649	2	0
CG31326	2	7
CG33109	0	0
Sp212	0	0
CG9631	6	1
CG9624	0	0
CG43291	0	0
CG9616	0	0
MetRS-m	139	1367
CG43179	0	9
CG14840	0	0
CG14841	2	0
CG14839	0	0
trx	80	6054
red	95	4824
IFT54	0	26
su(Hw)	270	8010
Polr2I	119	2445
CG31321	0	3
Crz	0	0
PR-Set7	153	12696
Afti	77	6818
ATPsynE	195	4989
spn-B	5	532
NK7.1	37	268
HEATR2	67	803
soti	0	0
cv-c	161	861
natalisin	1	0
HtrA2	38	1468
mRpL11	125	937
CG8461	115	778
Pde6	1	244
CG34273	0	0
Cyp313a1	0	1
CG14854	2	0
CG14850	0	0
CG14851	2	0
CG8087	0	0
CG14852	0	0
CG31313	5	15
CG8066	56	401
Cys	111	0
CG7987	202	10563
CG44094	0	0
stumps	13	96
CG14853	0	0
put	38	1952
His4r	3907	14695
CG7886	0	3
Cad88C	29	49
l(3)L1231	208	5902
CG3505	1	10
Hexim	195	4331
Rad17	172	2244
BigH1	1946	18086
Meltrin	148	3044
kibra	151	3167
CG7530	59	5199
eff	635	31528
jvl	125	9246
smp-30	3	5
CG7362	1	24
CG14855	7	6
CG14856	1	2
CG14857	0	1
btsz	113	713
CG3610	0	0
CG3631	5	1055
Rrp6	210	2410
CG33332	137	1721
CG33331	23	668
CycC	110	1502
UQCR-C1	1058	14156
Dph2	143	1194
CG14860	11	208
Nup93-2	229	1891
CG3817	75	1125
VhaPPA1-2	0	2
RpS5b	906	30893
VhaPPA1-1	321	9262
Sdr	60	912
CG14861	0	0
RpL10Aa	0	0
dpr9	0	0
CG6974	0	0
CG6966	116	11857
CG42788	75	2955
CG6912	2	225
CG3984	2	0
CG3987	0	22
GlyS	762	14376
Gyc88E	0	5
Mf	64	675
Kpc1	6	409
CG42542	164	4491
Spn88Ea	967	5024
Spn88Eb	2	3
Mau2	88	3035
CG6654	63	1093
CG4210	60	363
SIDL	241	1592
CG12241	58	2324
Polr2G	67	2034
CG31344	38	1398
Caf1-55	1010	10222
Art3	255	4444
mRpS10	202	2529
CG34316	0	2
tefu	135	4186
Hsc70-4	14705	169218
Amt	0	1
CG42404	0	9
eIF2gamma	499	9690
Su(var)3-9	71	607
Set	357	11645
ATPsynO	989	6894
CG14864	0	38
Zip88E	85	747
Cp190	240	12020
CG4338	82	178
MRG15	204	2799
l(3)neo43	41	22
Tm1	601	17349
CG45218	4	32
Tm2	92	248
CG14866	0	2
CG6276	39	2603
CG44040	0	0
ear	92	4045
CG6236	152	4992
ea	32	2117
mRpL9	220	1695
Fkbp39	1966	20372
Cyfip	466	6624
CG6218	29	443
SerRS-m	63	1326
Surf4	255	7756
CG31301	144	4735
CG42726	59	0
CG42727	0	0
Trs33	39	169
CG5038	16	547
Atg4b	69	1662
CG5044	277	2048
Cog2	136	1443
Trax	211	1330
CG6171	54	2141
CG34404	9	538
CG14868	1	105
CG6136	28	354
Ccm3	52	2564
Rbp	0	2
h-cup	0	0
CG6125	2	10
Atx2	608	13532
CG6118	1	1
Act88F	4	1
AdamTS-A	80	375
B9d1	0	0
Rh6	0	0
Trissin	0	0
obe	157	2719
maca	0	0
CG44014	3	2
CG44013	0	0
CG31296	0	5
AOX1	68	1130
AOX2	7	10
AOX3	617	3864
AOX4	3	1
CG43335	0	1
CG43336	0	0
pxb	5	6
CG31446	0	0
CG5399	63	62
CG5404	0	0
CG31294	0	0
CG34274	0	0
CG4520	0	0
CG12784	0	0
CG5623	0	0
Ttc26	0	0
CG45207	0	0
CG5614	0	0
CG9590	164	1680
Uros2	0	10
